City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Vanimo,PG,2022-02-12 19:13:27,-2.6741,141.3028,77.18,88,100,5.68
132,Geraldton,AU,2022-02-12 19:13:13,-28.7667,114.6,70.21,73,3,17.27
133,Maningrida,AU,2022-02-12 19:17:47,-12.0667,134.2667,79.99,76,80,3.47
134,Severo-Kurilsk,RU,2022-02-12 19:14:07,50.6789,156.125,17.78,77,31,1.99
135,Dwarka,IN,2022-02-12 19:17:47,22.2394,68.9678,70.36,52,0,10.47
136,Masallatah,LY,2022-02-12 19:17:48,32.6167,14.0,53.78,69,5,7.2
137,Pisco,PE,2022-02-12 19:17:48,-13.7,-76.2167,76.01,60,0,11.5
138,San Patricio,US,2022-02-12 19:09:04,28.017,-97.5169,69.75,70,100,24.61
139,Vardo,NO,2022-02-12 19:17:49,70.3705,31.1107,25.74,71,15,13.0
140,Rio Grande,BR,2022-02-12 19:17:49,-32.035,-52.0986,78.91,79,100,8.12
141,Caravelas,BR,2022-02-12 19:14:16,-17.7125,-39.2481,82.81,68,99,7.54
142,Houlton,US,2022-02-12 19:17:49,46.1262,-67.8403,44.89,75,40,8.05
143,Morondava,MG,2022-02-12 19:17:50,-20.2833,44.2833,81.16,84,100,10.4
144,Tacna,PE,2022-02-12 19:17:50,-18.0056,-70.2483,73.6,43,0,12.66
145,Barrow,US,2022-02-12 19:12:36,71.2906,-156.7887,-32.78,100,100,6.91
146,Kalmar,SE,2022-02-12 19:17:51,56.6616,16.3616,35.96,83,75,14.97
147,Chernyshevskiy,RU,2022-02-12 19:17:51,63.0128,112.4714,-14.48,100,100,0.45
148,Komsomolskiy,UZ,2022-02-12 19:14:08,40.4272,71.7189,39.92,87,100,2.3
149,Atuona,PF,2022-02-12 19:13:04,-9.8,-139.0333,77.67,77,6,13.58
150,Nikolskoye,RU,2022-02-12 19:13:17,59.7035,30.7861,34.72,96,100,12.12
151,Chase,CA,2022-02-12 19:17:17,50.8165,-119.6857,33.13,83,61,2.53
152,Soltsy,RU,2022-02-12 19:17:52,58.1239,30.3238,33.93,87,100,14.41
153,Yar-Sale,RU,2022-02-12 19:17:52,66.8333,70.8333,-8.1,91,100,14.85
154,Kaeo,NZ,2022-02-12 19:13:22,-35.1,173.7833,67.01,85,100,21.18
155,Arman,RU,2022-02-12 19:17:53,59.7,150.1667,-8.1,81,100,7.47
156,Sangar,RU,2022-02-12 19:17:53,63.9242,127.4739,-21.59,98,100,1.81
157,Pervomaysk,UA,2022-02-12 19:17:54,48.0443,30.8507,37.02,58,100,11.12
158,Hun,LY,2022-02-12 19:17:54,29.1268,15.9477,56.66,35,0,6.46
159,Vaini,TO,2022-02-12 19:12:52,-21.2,-175.2,80.76,89,20,4.61
160,Kaitangata,NZ,2022-02-12 19:13:29,-46.2817,169.8464,50.94,73,100,9.13
161,Russell,US,2022-02-12 19:17:55,32.3502,-85.1999,69.91,44,0,0.0
162,Council Bluffs,US,2022-02-12 19:17:55,41.2619,-95.8608,25.77,41,75,10.36
163,Pionerskiy,RU,2022-02-12 19:17:56,54.9508,20.2275,33.64,74,100,21.41
164,Shizunai,JP,2022-02-12 19:17:22,42.3339,142.3669,30.97,74,94,19.17
165,San Quintin,MX,2022-02-12 19:13:34,30.4833,-115.95,74.55,28,24,3.89
166,Cam Ranh,VN,2022-02-12 19:17:56,11.9214,109.1591,76.96,83,40,9.22
167,Dakar,SN,2022-02-12 19:17:57,14.6937,-17.4441,77.88,68,25,4.61
168,Itarema,BR,2022-02-12 19:17:57,-2.9248,-39.9167,84.02,65,99,12.48
169,Miraflores,MX,2022-02-12 19:17:57,19.2167,-98.8083,67.03,32,100,5.46
170,Antofagasta,CL,2022-02-12 19:17:58,-23.65,-70.4,74.21,63,0,10.65
171,Ancud,CL,2022-02-12 19:13:05,-41.8697,-73.8203,80.22,61,84,5.23
172,Kudahuvadhoo,MV,2022-02-12 19:17:58,2.6708,72.8944,81.48,67,100,5.28
173,Teshie,GH,2022-02-12 19:17:59,5.5836,-0.1072,84.76,79,75,11.5
174,Lubumbashi,CD,2022-02-12 19:17:59,-11.6609,27.4794,62.82,95,100,2.24
175,High Level,CA,2022-02-12 19:15:04,58.5169,-117.136,1.51,78,100,14.97
176,Mormugao,IN,2022-02-12 19:18:00,15.4,73.8,76.12,64,7,5.88
177,Bagdarin,RU,2022-02-12 19:18:00,54.4333,113.6,-20.52,95,93,3.22
178,Pacific Grove,US,2022-02-12 19:18:00,36.6177,-121.9166,76.6,47,0,4.0
179,Sao Jose Dos Campos,BR,2022-02-12 19:16:57,-23.1794,-45.8869,82.26,57,40,17.27
180,San Matias,BO,2022-02-12 19:18:01,-16.3667,-58.4,89.06,63,84,2.3
181,Port Elizabeth,ZA,2022-02-12 19:13:31,-33.918,25.5701,73.69,94,75,12.66
182,Torbay,CA,2022-02-12 19:13:44,47.6666,-52.7314,45.75,80,100,16.11
183,Natal,BR,2022-02-12 19:13:50,-5.795,-35.2094,86.65,66,40,14.97
184,Zonguldak,TR,2022-02-12 19:18:02,41.25,31.8333,34.75,88,90,2.04
185,Riyadh,SA,2022-02-12 19:18:02,24.6877,46.7219,57.34,29,0,14.54
186,Chepareria,KE,2022-02-12 19:18:02,1.3077,35.2039,66.09,51,100,3.47
187,Baykit,RU,2022-02-12 19:18:03,61.67,96.37,-14.69,100,30,2.51
188,Miquelon,PM,2022-02-12 19:18:03,47.0975,-56.3814,41.0,89,77,31.7
189,Zheleznodorozhnyy,RU,2022-02-12 19:18:04,55.7503,38.0042,27.12,91,40,9.01
190,Narasannapeta,IN,2022-02-12 19:13:28,18.4167,84.05,68.16,68,78,4.5
191,Izumo,JP,2022-02-12 19:18:04,35.3667,132.7667,33.75,79,100,6.87
192,Torrington,US,2022-02-12 19:18:05,41.8007,-73.1212,55.6,46,100,1.99
193,Dongkan,CN,2022-02-12 19:18:05,33.9997,119.8308,41.27,77,100,4.59
194,Mtsensk,RU,2022-02-12 19:18:05,53.2766,36.5733,14.49,96,7,8.37
195,Shingu,JP,2022-02-12 19:18:06,33.7333,135.9833,42.91,62,100,5.06
196,Seka,TH,2022-02-12 19:18:06,17.9285,103.9552,72.34,84,100,4.34
197,Fairbanks,US,2022-02-12 19:10:59,64.8378,-147.7164,-3.77,74,40,3.44
198,Mayumba,GA,2022-02-12 19:18:07,-3.432,10.6554,78.78,89,100,5.48
199,Angoche,MZ,2022-02-12 19:18:07,-16.2325,39.9086,78.39,87,91,6.17
200,Makakilo City,US,2022-02-12 19:15:02,21.3469,-158.0858,75.52,69,0,6.91
201,Nioro,GM,2022-02-12 19:18:08,13.35,-15.75,87.49,9,5,7.67
202,Lakatoro,VU,2022-02-12 19:18:08,-16.0999,167.4164,78.75,86,100,1.77
203,Canmore,CA,2022-02-12 19:14:16,51.0834,-115.3521,39.24,55,5,6.06
204,Emba,KZ,2022-02-12 19:18:09,48.8264,58.1442,26.02,91,100,12.57
205,Kurumkan,RU,2022-02-12 19:18:09,54.3,110.3,-22.13,94,72,3.56
206,Goya,AR,2022-02-12 19:18:09,-29.14,-59.2626,79.21,48,97,13.09
207,Saryagash,KZ,2022-02-12 19:18:10,41.4511,69.1701,37.36,83,94,3.24
208,Ostersund,SE,2022-02-12 19:18:10,63.1792,14.6357,32.61,74,20,9.22
209,Ballater,GB,2022-02-12 19:18:11,57.0493,-3.0402,45.3,81,22,16.33
210,Sayat,TM,2022-02-12 19:18:11,38.7839,63.8803,37.27,46,0,7.9
211,Matara,LK,2022-02-12 19:18:11,5.9485,80.5353,75.33,91,100,4.18
212,Tiarei,PF,2022-02-12 19:18:12,-17.5333,-149.3333,86.02,73,74,14.76
213,Man,CI,2022-02-12 19:18:12,7.4125,-7.5538,79.66,18,8,2.35
214,Faya,SA,2022-02-12 19:12:56,18.3851,42.4509,57.72,69,1,6.13
215,Santa Cruz,BO,2022-02-12 19:15:03,-17.8,-63.1667,84.25,54,75,18.41
216,Port Macquarie,AU,2022-02-12 19:18:13,-31.4333,152.9167,62.89,68,100,7.74
217,Vestmanna,FO,2022-02-12 19:18:14,62.1564,-7.1664,38.32,93,75,2.3
218,Minab,IR,2022-02-12 19:18:14,27.1467,57.0801,69.3,73,95,0.0
219,Tasiilaq,GL,2022-02-12 19:09:03,65.6145,-37.6368,10.56,65,100,3.67
220,Kavieng,PG,2022-02-12 19:12:35,-2.5744,150.7967,80.47,78,100,3.89
221,Odweyne,SO,2022-02-12 19:18:15,9.4092,45.064,65.44,61,100,7.63
222,Fredericksburg,US,2022-02-12 19:17:04,38.3032,-77.4605,67.35,38,40,10.36
223,Bengkulu,ID,2022-02-12 19:13:47,-3.8004,102.2655,75.92,84,79,4.29
224,Burnie,AU,2022-02-12 19:18:15,-41.0667,145.9167,61.18,78,100,12.77
225,Cape Canaveral,US,2022-02-12 19:17:22,28.4058,-80.6048,84.97,65,0,6.91
226,Saint Anthony,US,2022-02-12 19:14:15,45.0205,-93.218,4.78,63,100,6.91
